INDAIAL (A817);
Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm);
20/02/2021;0100;24,5;24,8;24,5;76,0;76,0;72,0;19,9;19,9;19,3;1005,7;1005,7;1004,7;0,4;67,0;2,7;;0,0;
20/02/2021;0200;24,1;24,5;24,1;78,0;78,0;76,0;20,0;20,1;19,9;1005,9;1005,9;1005,7;0,4;43,0;2,4;;0,0;
20/02/2021;0300;23,4;24,1;23,4;83,0;83,0;78,0;20,3;20,3;20,0;1005,6;1005,9;1005,6;0,1;233,0;2,0;;0,0;
20/02/2021;0400;22,6;23,4;22,6;85,0;85,0;83,0;20,0;20,4;19,9;1005,2;1005,6;1005,2;0,7;228,0;2,0;;0,0;
20/02/2021;0500;22,2;22,6;22,2;87,0;87,0;85,0;19,8;20,0;19,8;1004,9;1005,2;1004,9;1,0;225,0;2,1;;0,0;
20/02/2021;0600;21,8;22,2;21,7;88,0;88,0;87,0;19,7;19,8;19,7;1004,7;1004,9;1004,6;1,3;233,0;2,6;;0,0;
20/02/2021;0700;21,5;21,9;21,5;89,0;89,0;88,0;19,7;19,9;19,7;1004,9;1005,0;1004,7;0,0;175,0;2,2;;0,0;
20/02/2021;0800;20,9;21,5;20,9;91,0;91,0;89,0;19,3;19,7;19,3;1005,1;1005,1;1004,7;1,1;229,0;2,4;;0,0;
20/02/2021;0900;20,4;20,9;20,4;92,0;92,0;91,0;19,0;19,3;19,0;1005,9;1005,9;1005,1;1,3;238,0;2,9;;0,0;
20/02/2021;1000;20,8;20,8;20,3;91,0;92,0;91,0;19,3;19,3;18,9;1006,8;1006,8;1005,9;2,1;234,0;3,8;86,76;0,0;
20/02/2021;1100;22,3;22,3;20,8;87,0;91,0;87,0;20,1;20,2;19,1;1007,5;1007,5;1006,8;0,3;286,0;3,8;498,43;0,0;
20/02/2021;1200;24,6;24,6;22,3;78,0;87,0;78,0;20,5;21,1;20,0;1008,1;1008,1;1007,5;2,2;208,0;4,2;1556,24;0,0;
20/02/2021;1300;27,0;27,0;24,6;72,0;79,0;71,0;21,5;21,5;20,6;1007,8;1008,1;1007,7;0,5;136,0;4,2;2254,97;0,0;
20/02/2021;1400;28,4;28,6;27,0;60,0;72,0;60,0;20,0;21,7;19,7;1007,3;1007,8;1007,3;0,5;198,0;2,0;2733,12;0,0;
20/02/2021;1500;30,0;30,3;28,4;52,0;62,0;51,0;19,2;20,5;18,6;1006,7;1007,3;1006,7;1,2;102,0;3,0;3327,09;0,0;
20/02/2021;1600;30,9;31,0;29,8;47,0;53,0;46,0;18,4;19,8;17,3;1006,0;1006,7;1006,0;1,4;62,0;4,0;3489,34;0,0;
