,,,PA_10min,,PA_10min,,PA_10min,,TA_10min,,TA_10min,,TA_10min,,UR_10min,,UR_10min,,UR_10min,,RG_10min,,RG_10min,,RG_10min,,US_20_10min,,US_20_10min,,US_20_10min,,US_60_10min,,US_60_10min,,US_60_10min,,US_40_10min,,US_40_10min,,US_40_10min,,TS_20_10min,,TS_20_10min,,TS_20_10min,,TS_60_10min,,TS_60_10min,,TS_60_10min,,TS_40_10min,,TS_40_10min,,TS_40_10min,,UF_10min,,UF_10min,,UF_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,VV_DV_10min,,SParServer,,Charger,
date,time,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,DirAvg10m,status,GustDir,status,LullDir,status,SpdAvg10m,status,SpdMax10m,status,SpdMin10m,status,PP_10min,status,External_DC,
3/19/18,12:00:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.004,VALID,0.017,VALID,0.0,VALID,11.216,VALID,11.225,VALID,11.203,VALID,21.466,VALID,21.477,VALID,21.459,VALID,11.884,VALID,11.924,VALID,11.857,VALID,23.43,VALID,23.5,VALID,23.4,VALID,22.2,VALID,22.2,VALID,22.2,VALID,22.4,VALID,22.4,VALID,22.4,VALID,408.813,VALID,409.546,VALID,408.325,VALID,103.0,VALID,69.0,VALID,117.0,VALID,0.565,VALID,0.703,VALID,0.398,VALID,0.0,VALID,12.413,
3/19/18,12:10:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.008,VALID,0.033,VALID,0.0,VALID,11.211,VALID,11.225,VALID,11.203,VALID,21.461,VALID,21.477,VALID,21.441,VALID,11.886,VALID,11.902,VALID,11.857,VALID,23.48,VALID,23.5,VALID,23.4,VALID,22.2,VALID,22.2,VALID,22.2,VALID,22.4,VALID,22.4,VALID,22.4,VALID,410.767,VALID,411.377,VALID,409.546,VALID,138.0,VALID,170.0,VALID,75.0,VALID,0.479,VALID,0.703,VALID,0.203,VALID,0.0,VALID,12.409,
3/19/18,12:20:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.006,VALID,0.032,VALID,0.0,VALID,11.202,VALID,11.225,VALID,11.18,VALID,21.461,VALID,21.477,VALID,21.441,VALID,11.882,VALID,11.902,VALID,11.857,VALID,23.46,VALID,23.5,VALID,23.4,VALID,22.2,VALID,22.2,VALID,22.2,VALID,22.42,VALID,22.5,VALID,22.4,VALID,412.17,VALID,414.429,VALID,411.377,VALID,248.0,VALID,240.0,VALID,164.0,VALID,0.607,VALID,1.203,VALID,0.0,VALID,0.11,VALID,12.406,
3/19/18,12:30:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.003,VALID,0.014,VALID,0.0,VALID,11.182,VALID,11.203,VALID,11.18,VALID,21.455,VALID,21.459,VALID,21.441,VALID,11.889,VALID,11.924,VALID,11.857,VALID,23.5,VALID,23.5,VALID,23.5,VALID,22.2,VALID,22.2,VALID,22.2,VALID,22.41,VALID,22.5,VALID,22.4,VALID,414.307,VALID,414.429,VALID,413.818,VALID,145.0,VALID,233.0,VALID,178.0,VALID,0.594,VALID,1.102,VALID,0.102,VALID,0.0,VALID,12.405,
3/19/18,12:40:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.012,VALID,0.049,VALID,0.0,VALID,11.175,VALID,11.18,VALID,11.157,VALID,21.442,VALID,21.459,VALID,21.441,VALID,11.889,VALID,11.902,VALID,11.88,VALID,23.5,VALID,23.5,VALID,23.5,VALID,22.2,VALID,22.2,VALID,22.2,VALID,22.42,VALID,22.5,VALID,22.4,VALID,415.161,VALID,416.26,VALID,414.429,VALID,312.0,VALID,316.0,VALID,253.0,VALID,0.349,VALID,0.602,VALID,0.0,VALID,0.01,VALID,12.399,
3/19/18,12:50:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.006,VALID,0.022,VALID,0.0,VALID,11.175,VALID,11.18,VALID,11.157,VALID,21.438,VALID,21.459,VALID,21.422,VALID,11.886,VALID,11.902,VALID,11.857,VALID,23.49,VALID,23.5,VALID,23.4,VALID,22.2,VALID,22.2,VALID,22.2,VALID,22.42,VALID,22.5,VALID,22.4,VALID,417.969,VALID,419.312,VALID,416.87,VALID,337.0,VALID,306.0,VALID,269.0,VALID,0.284,VALID,0.5,VALID,0.0,VALID,0.0,VALID,12.38,
3/19/18,1:00:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.004,VALID,0.03,VALID,0.0,VALID,11.176,VALID,11.18,VALID,11.157,VALID,21.437,VALID,21.441,VALID,21.422,VALID,11.877,VALID,11.902,VALID,11.835,VALID,23.48,VALID,23.5,VALID,23.4,VALID,22.2,VALID,22.2,VALID,22.2,VALID,22.42,VALID,22.5,VALID,22.4,VALID,421.265,VALID,422.363,VALID,419.922,VALID,167.0,VALID,89.0,VALID,151.0,VALID,0.263,VALID,0.703,VALID,0.0,VALID,0.0,VALID,12.391,
3/19/18,1:10:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.002,VALID,0.016,VALID,0.0,VALID,11.271,VALID,11.384,VALID,11.18,VALID,21.433,VALID,21.441,VALID,21.422,VALID,11.893,VALID,11.902,VALID,11.88,VALID,23.48,VALID,23.5,VALID,23.4,VALID,22.2,VALID,22.2,VALID,22.2,VALID,22.42,VALID,22.5,VALID,22.4,VALID,424.011,VALID,425.415,VALID,422.974,VALID,91.0,VALID,88.0,VALID,69.0,VALID,0.494,VALID,0.703,VALID,0.297,VALID,0.0,VALID,12.393,
3/19/18,1:20:02 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.002,VALID,0.016,VALID,0.0,VALID,11.175,VALID,11.18,VALID,11.134,VALID,21.433,VALID,21.441,VALID,21.422,VALID,11.882,VALID,11.902,VALID,11.835,VALID,23.5,VALID,23.5,VALID,23.5,VALID,22.2,VALID,22.2,VALID,22.2,VALID,22.43,VALID,22.5,VALID,22.4,VALID,426.88,VALID,427.856,VALID,425.415,VALID,111.0,VALID,158.0,VALID,87.0,VALID,0.633,VALID,0.898,VALID,0.297,VALID,0.0,VALID,12.39,
